"","V1","V2","V3"
"1",1,100,10
"2",2,110,9.6
"3",3,121.44,9.23
"4",4,134.519088,8.88994
"5",5,149.464239388253,8.579962088
"6",6,166.533112191274,8.30042822298825
"7",7,186.016773184583,8.05193992403011
"8",8,208.242168996058,7.83535970101319
"9",9,233.574079805237,7.65183388495859
"10",10,262.416195181267,7.5028162705159
"11",11,295.210829228991,7.39009165217137
"12",12,332.436644227632,7.31579789879179
"13",13,374.603580039939,7.28244464807983
"14",14,422.243997681793,7.29292599571578
"15",15,475.898854945867,7.35052369361178
"16",16,536.097567844617,7.45889636387706
"17",17,603.330119418745,7.62204911352783
"18",18,678.010025283691,7.84427677727018
"19",19,760.427047379537,8.13007296369036
"20",20,850.689183067851,8.48399636288538
"21",21,948.654580330486,8.91048572780896
"22",22,1053.85576541003,9.413616021749
"23",23,1165.42098331327,9.99679098607158
"24",24,1282.00048016628,10.6623724200813
"25",25,1401.70891057697,11.4112542792435
"26",26,1522.09812465162,12.2424004758583
"27",27,1640.17640152656,13.152378576717
"28",28,1752.48947217713,14.1349360494077
"29",29,1855.27410044771,15.1806787191144
"30",30,1944.68571998935,16.2769188836064
"31",31,2017.08794680347,17.4077586594155
"32",32,2069.37573443646,18.5544586732482
"33",33,2099.28941588351,19.6961114740222
"34",34,2105.66891554545,20.8105953162046
"35",35,2088.60046194126,21.8757344659398
"36",36,2049.42386322085,22.8705482045841
"37",37,1990.59416331085,23.7764446575758
"38",38,1915.42047637648,24.5782165880078
"39",39,1827.72837839691,25.2647262349839
"40",40,1731.5034829552,25.8292183016316
"41",41,1630.57036503339,26.2692608695052
"42",42,1528.3456551886,26.5863681910634
"43",43,1427.68318310576,26.7853954366988
"44",44,1330.80923354879,26.8738088479696
"45",45,1239.33195070351,26.8609276391199
"46",46,1154.30228235725,26.7572132078675
"47",47,1076.30361607509,26.5736548298313
"48",48,1005.55113143332,26.3212757044149
"49",49,941.98747206656,26.0107630506274
"50",50,885.366837154044,25.6522123701626
"51",51,835.324023263105,25.2549685888085
"52",52,791.428008225857,24.8275441826312
"53",53,753.221471455036,24.3775949817255
"54",54,720.248486119341,23.9119367040943
"55",55,692.072821230155,23.4365883550089
"56",56,668.289127247578,22.9568317584886
"57",57,648.528942094595,22.4772792978118
"58",58,632.463068871768,22.0019442750158
"59",59,619.801510672901,21.5343101301367
"60",60,610.291833307906,21.0773961343028
"61",61,603.716572687881,20.6338181608956
"62",62,599.890107409849,20.2058438255387
"63",63,598.655270663728,19.7954417416716
"64",64,599.879869458789,19.4043249252517
"65",65,603.453204319587,19.0339885484479
"66",66,609.282631378073,18.6857423253451
"67",67,617.290175121298,18.3607378404559
"68",68,627.409179376645,18.0599911235544
"69",69,639.580973148186,17.7844007467534
"70",70,653.751524413165,17.5347616825639
"71",71,669.868057493821,17.3117751228489
"72",72,687.875617259459,17.1160544242002
"73",73,707.713575690418,16.9481273202497
"74",74,729.312092957798,16.8084345299276
"75",75,752.588565885702,16.697324896389
"76",76,777.444121083831,16.6150472174553
"77",77,803.760237493189,16.5617389776663
"78",78,831.395612451934,16.5374122662762
"79",79,860.183414947412,16.5419372654143
"80",80,889.929097068795,16.575023817091
"81",81,920.408956688178,16.6362017233053
"82",82,951.369657311799,16.7248005938282
"83",83,982.528910678573,16.8399302214486
"84",84,1013.57750985046,16.9804626210547
"85",85,1044.18286162497,17.1450169998524
"86",86,1073.99410481482,17.3319490114848
"87",87,1102.64881514493,17.5393456657254
"88",88,1129.78119100662,17.765027197584
"89",89,1155.03149335243,18.0065570287115
"90",90,1178.05638747283,18.2612606706283
"91",91,1198.539717204,18.5262540245697
"92",92,1216.20314805023,18.7984810405452
"93",93,1230.81605945953,19.0747601365682
"94",94,1242.20406028717,19.3518381891993
"95",95,1250.25555261817,19.6264503400265
"96",96,1254.92587798378,19.8953833756434
"97",97,1256.2387390755,20.155540084845
"98",98,1254.28478427489,20.4040018196782
"99",99,1249.21745092247,20.6380865129692
"100",100,1241.24636285047,20.8553996382432
"101",101,1230.62874595294,21.0538760191815
"102",102,1217.65944471419,21.2318109641754
"103",103,1202.66018216788,21.3878798606808
